K,Test Accuracy,CV Accuracy Mean,CV Accuracy Std
1,0.9666666666666667,0.9416666666666668,0.042491829279939886
3,0.9333333333333333,0.9583333333333333,0.03726779962499651
5,0.9333333333333333,0.9666666666666668,0.031180478223116186
7,0.9666666666666667,0.9583333333333333,0.03726779962499651
9,0.9666666666666667,0.9583333333333334,0.026352313834736508
11,0.9666666666666667,0.9583333333333334,0.026352313834736508
13,0.9666666666666667,0.95,0.04082482904638631
15,0.9666666666666667,0.9583333333333334,0.026352313834736508
17,0.9666666666666667,0.9583333333333334,0.026352313834736508
19,0.9666666666666667,0.9416666666666667,0.020412414523193187
21,0.9666666666666667,0.9333333333333333,0.033333333333333354
